variable value N p se lwr upr
Bolt-LMM 434 840 0.516666666666667 0.0172420520759091 0.482182562514849 0.551150770818485
Bolt-LMM 434 880 0.493181818181818 0.016853429391936 0.459474959397946 0.52688867696569
Bolt-LMM 491 920 0.533695652173913 0.0164470363071157 0.500801579559682 0.566589724788144
Bolt-LMM 442 960 0.460416666666667 0.016086781572997 0.428243103520673 0.492590229812661
Bolt-LMM 473 1000 0.473 0.0157883184665119 0.441423363066976 0.504576636933024
Bolt-LMM 519 1040 0.499038461538462 0.0155043131543534 0.468029835229755 0.530047087847168
Bolt-LMM 495 1080 0.458333333333333 0.0151615952720489 0.428010142789235 0.488656523877431
Bolt-LMM 532 1120 0.475 0.0149216704828917 0.445156659034217 0.504843340965783
Bolt-LMM 554 1160 0.477586206896552 0.0146657477406369 0.448254711415278 0.506917702377826
Bolt-LMM 554 1200 0.461666666666667 0.0143912750059297 0.432884116654807 0.490449216678526
Bolt-LMM 537 1240 0.433064516129032 0.014071236991929 0.404922042145174 0.46120699011289
Bolt-LMM 538 1280 0.4203125 0.0137967926057492 0.392718914788502 0.447906085211498
Bolt-LMM 551 1320 0.417424242424242 0.0135730694888475 0.390278103446547 0.444570381401937
Bolt-LMM 585 1360 0.430147058823529 0.0134251894117703 0.403296679999989 0.45699743764707
Bolt-LMM 584 1400 0.417142857142857 0.0131783018057702 0.390786253531317 0.443499460754397
Bolt-LMM 559 1440 0.388194444444444 0.0128425161342152 0.362509412176014 0.413879476712875
Bolt-LMM 589 1480 0.397972972972973 0.012723421841182 0.372526129290609 0.423419816655337
Bolt-LMM 578 1520 0.380263157894737 0.0124515663948742 0.355360025104988 0.405166290684485
Bolt-LMM 612 1560 0.392307692307692 0.0123621207744046 0.367583450758883 0.417031933856501
Bolt-LMM 613 1600 0.383125 0.0121537091656981 0.358817581668604 0.407432418331396
Bolt-LMM 630 1640 0.384146341463415 0.0120106134417086 0.360125114579997 0.408167568346832
Bolt-LMM 599 1680 0.356547619047619 0.0116859045740476 0.333175809899524 0.379919428195714
Bolt-LMM 614 1720 0.356976744186047 0.0115523164971958 0.333872111191655 0.380081377180438
Bolt-LMM 638 1760 0.3625 0.0114587637660201 0.33958247246796 0.38541752753204
Bolt-LMM 627 1800 0.348333333333333 0.0112298516419957 0.325873630049342 0.370793036617325
Bolt-LMM 630 1840 0.342391304347826 0.0110620654926906 0.320267173362445 0.364515435333207
Bolt-LMM 642 1880 0.341489361702128 0.0109368199495917 0.319615721802944 0.363363001601311
Bolt-LMM 615 1920 0.3203125 0.0106485621668234 0.299015375666353 0.341609624333647
Bolt-LMM 644 1960 0.328571428571429 0.010609301004547 0.307352826562335 0.349790030580522
Bolt-LMM 649 2000 0.3245 0.0104689958926346 0.303562008214731 0.345437991785269
