method value p se lwr upr h2
Bolt-LMM 176 0.176 0.0120425910833176 0.151914817833365 0.200085182166635 0.12
Bolt-LMM 184 0.184 0.0122533260790693 0.159493347841861 0.208506652158139 0.14
Bolt-LMM 221 0.221 0.0131209374665075 0.194758125066985 0.247241874933015 0.16
Bolt-LMM 233 0.233 0.0133682833602524 0.206263433279495 0.259736566720505 0.18
Bolt-LMM 265 0.265 0.0139561814261638 0.237087637147672 0.292912362852328 0.2
Bolt-LMM 292 0.292 0.0143783170086071 0.263243365982786 0.320756634017214 0.22
Bolt-LMM 290 0.29 0.0143492160064583 0.261301567987083 0.318698432012917 0.24
Bolt-LMM 334 0.334 0.0149145566477854 0.304170886704429 0.363829113295571 0.26
Bolt-LMM 331 0.331 0.0148808265899445 0.301238346820111 0.360761653179889 0.28
Bolt-LMM 357 0.357 0.0151509405648626 0.326698118870275 0.387301881129725 0.3
Bolt-LMM 395 0.395 0.0154588162548107 0.364082367490379 0.425917632509621 0.32
Bolt-LMM 394 0.394 0.0154519901630826 0.363096019673835 0.424903980326165 0.34
Bolt-LMM 392 0.392 0.015438134602341 0.361123730795318 0.422876269204682 0.36
Bolt-LMM 426 0.426 0.0156372631876553 0.394725473624689 0.457274526375311 0.38
Bolt-LMM 442 0.442 0.0157046489932122 0.410590702013576 0.473409297986424 0.4
Bolt-LMM 439 0.439 0.0156932788161047 0.407613442367791 0.470386557632209 0.42
Bolt-LMM 475 0.475 0.0157916116973538 0.443416776605292 0.506583223394708 0.44
Bolt-LMM 473 0.473 0.0157883184665119 0.441423363066976 0.504576636933024 0.46
Bolt-LMM 483 0.483 0.0158022466757104 0.451395506648579 0.514604493351421 0.48
Bolt-LMM 490 0.49 0.0158082257068907 0.458383548586219 0.521616451413781 0.5
Bolt-LMM 494 0.494 0.0158102498398982 0.462379500320204 0.525620499679796 0.52
Bolt-LMM 518 0.518 0.0158011391994375 0.486397721601125 0.549602278398875 0.54
Bolt-LMM 505 0.505 0.0158105977116616 0.473378804576677 0.536621195423323 0.56
Bolt-LMM 557 0.557 0.0157083099027235 0.525583380194553 0.588416619805447 0.58
Bolt-LMM 533 0.533 0.0157769135131052 0.50144617297379 0.56455382702621 0.6
Bolt-LMM 569 0.569 0.0156601085564564 0.537679782887087 0.600320217112913 0.62
Bolt-LMM 538 0.538 0.0157656588825206 0.506468682234959 0.569531317765041 0.64
Bolt-LMM 548 0.548 0.0157383607786834 0.516523278442633 0.579476721557367 0.66
Bolt-LMM 575 0.575 0.0156324982008635 0.543735003598273 0.606264996401727 0.68
Bolt-LMM 574 0.574 0.0156372631876553 0.542725473624689 0.605274526375311 0.7
Bolt-LMM 594 0.594 0.0155294558822903 0.562941088235419 0.625058911764581 0.72
Bolt-LMM 597 0.597 0.0155109960995418 0.565978007800916 0.628021992199084 0.74
Bolt-LMM 586 0.586 0.0155757503832079 0.554848499233584 0.617151500766416 0.76
Bolt-LMM 581 0.581 0.0156025318458255 0.549794936308349 0.612205063691651 0.78
Bolt-LMM 616 0.616 0.0153799869960933 0.585240026007813 0.646759973992187 0.8
Bolt-LMM 634 0.634 0.0152329905140127 0.603534018971975 0.664465981028025 0.82
Bolt-LMM 615 0.615 0.0153874949228261 0.584225010154348 0.645774989845652 0.84
Bolt-LMM 629 0.629 0.0152760924322943 0.598447815135411 0.659552184864589 0.86
Bolt-LMM 628 0.628 0.0152845019545944 0.597430996090811 0.658569003909189 0.88
Bolt-LMM 626 0.626 0.0153011110707687 0.595397777858463 0.656602222141537 0.9
Bolt-LMM 633 0.633 0.0152417518678136 0.602516496264373 0.663483503735627 0.92
Bolt-LMM 655 0.655 0.0150324648677454 0.624935070264509 0.685064929735491 0.94
Bolt-LMM 664 0.664 0.0149366662947259 0.634126667410548 0.693873332589452 0.96
